带男朋友过了一个难忘的生日！！！,"['“有没有关于我的愿望”\n“很多”', '“我现在吃得好撑 不想动了”\n“但你现在帮我做一个事情”\n“使命必达”', '省流：宝剑嫂和她的脂肪肝的一天', '真好，嫂子已经熬走我两任女朋友了，我还是喜欢看她的视频。']"
【愚人号】SN-EX-1至8突袭 SN-S-1AB至5 摆完挂机 简单好抄,"['置顶解释一下，很多人都说得不到宝箱，\n镀层刻章宝箱全都只能打普通难度，突袭完成不了。\n第四关没拿到宝箱大概就是多下了地面干员，最多3个干员感染，视频只下了3个不可能完成不了。\n第二关和第六关没拿到宝箱是没推小推车，注意看视频操作。\n第八关没拿到宝箱：半挂和第二版的需要第一波右上两只小怪阵亡在同一格，boss才能两只都吃到。boss是吃5种buff，有6种buff怪，最后那个连击加伤害的不让boss吃，总共5种。字幕已经标明清楚了，看是不是水陈下早了或者42技能开早了。\nboss直接穿过去的看小帮手，加一阻挡，煌是挡三+抵抗，把煌的位置换其他干员可能就会漏。把闪灵换成流明会好点，可以跟煌的抵抗叠加。', '前期：抄低配作业（等我抽到xxx后就乱杀，     再也不用抄作了）\n\n中期：抄单双核作业（等我有黄金大队后就乱杀，再也不会抄作业了）\n\n后期：抄摆完挂机作业', '突袭，已经开放\n等待，萧然降临\n脑子，身外之物', '怎么办从第一关就开始抄我不会是废物吧呜呜————打开视频———“3000+人正在看”']"
说出来你们不信，这里20块钱一天老过瘾了，哈哈,"['置顶啊 我上热门了啊', '右侧的空军佬:你上鱼就算了，大声嚷嚷也算了，让我看大板鲫更算了，你上鲤鱼还得我帮忙给你收伞，你这样下次钓鱼得戴头……\n\n算了，这板鲫真香', '隔壁大哥不用去菜市场了', '隔壁大哥回家后：我说真的，我钓的这三条鲫鱼，我遛了好久呢，线搞细了，不过还好我技术还可以，要不然你们吃个锤子']"
B站独家《刺客信条 : 大革命》电影版 含全新镜头 中法英三字 155分钟完整版 激荡的革命和爱情 粉丝作品 4K 21:9宽荧幕,"['也许这个电影版能弥补一些大革命首发时的遗憾…\n\n原本我打算把这部作品精制成的6小时剧集模式，但是我发现大家似乎更喜欢看电影版。\n\n所以经过至少500小时的制作，最终完成了这部电影。无论是你否玩过这款游戏，本视频都可以带给你全新的观看体验。\n\n为了配得上“电影版”这个特性，本影片中采用了大量我自己拍摄的片段，替换掉了游戏的80%越肩视角，全程采用21:9的宽幅银幕比例录制，字幕为我自己重新制作的中法英三语字幕，只为增加电影感的体验，希望大家喜欢。\n\n片尾是我自己重新编制的结局：亚诺回来看到了艾莉丝的信，艾莉丝的旁白结合亚诺的心境，在法兰西亚德重新振作、带领刺客组织重新发扬、成为刺客大师等等。\n\n拍摄的一些镜头虽有不足，但还请大家谅解，具体原因我会在2P单独来说明。你喷我做得烂我不反驳，但这部影片确实花费了我很多时间与精力，很欢迎大家跟全网包括youtube在内的任何《刺客信条：大革命》视频进行对比。如果大家觉得满意，不妨点个三连，点赞如果能过1W我会以同样的方式来制作刺客信条枭雄，感谢大家', '制作不易，非常理解背后制作的辛苦，加油！', '未经本人同意，擅自使用本人肖像权进行创造，要么给我500块钱，要么给我500q币。不然别让我在巴黎大街见到你，兜帽必须给你拽掉。', '如果是法语配音就好了，更有代入感。我自己玩的时候也是调成法语的。主要是这一代的英语太字正腔圆了，有点出戏，不像老色鬼三部曲里的人都有意大利口音。']"
挥汗50天用344根雪糕棒设计制作一把源氏短刀,"['做的很好，给你守望先锋应有的热度', '会建模，会手工，会电工，会编程，会剪辑，这是技能树点满了', '本来想跟学一下，结果发现我玩的是手工区，你玩的是工业区', '刀做得真不错，对了，你怎么知道我今天拔刀六杀啊']"
“护 食”,"['我爱你们', '小潮tEam公司规定第77条：录节目的时候不允许吃东西', '不愧是团队聪明担当高斯', '视频中的小傲以一种意想不到的方式告诉我们高斯实际上拖更了']"
【LOL】20G2MSI宣传片——上单教父,"['你甚至能发现一群lol电竞选手的演技比小鲜肉都好，至少是在记台词这一块', '“您将如何战胜T1呢”\n“我会开出一个让他们无法拒绝的条件”', '大家要的就是节目效果，在这方面希望其它赛区多向G2学习。', '突然有个想法，小羊和杰克一个空Q一个接Q，他俩遇到一起会咋样啊']"
经 典 折 磨,"['我白嫖了，色带鱼有什么想法', '原来这个up是做鬼畜的啊', '对不起啊，工作疏忽，忘投币了', 'btw推荐一下这部剧《光荣时代》很好看！']"
花五个月“解锁”《铠甲勇士激斗传》的最终结局！全部铠甲！,"['置顶【置顶】过段时间会出2.0版本，也是由虚幻引擎开发，会新增其他铠甲的进化形态等其他内容\n我建议各位等待3.0版本游玩，不仅动作和内容更全，优化更好，到时候我会学习U3D重新制作游戏，优化性能，并免费上架Steam，方便下载，还会适配手机端，到时候手机也可以玩，现在可以点个关注，因为3.0不会发视频，到时候只会动态说一下\n一个人做游戏，选择虚幻引擎果然还是....只能怪我学艺不精 ', '太强了', '我突然意识到，阿源早已经不仅仅局限于游戏杂谈了，一次次的突破自我，增强了自己的硬实力，也许我正目睹一位游戏制作者的诞生！不管怎么说，阿源，加油啊！', '想尝试的千万别急，本人笔记本1050Ti显卡打开后黑屏，等半天进去然后打不开。来回几次之后发现电脑刷新不对。屏幕中间烧了个彩色块。重启后N卡就没了，驱动也打不开，用GPUZ检测N卡已经停止运行了。千万千万别随意尝试！千万千万！感谢up这个文件祝我换卡，太漂亮了。最后叮嘱大家，千万千万不要随意尝试！']"
赚秦明？上梁山？土匪体验券已到账！《水浒传》P20,"['置顶大家晚上好，昨天晚上23点14分的时候，这个视频发布了。但在发布后我发现，视频中缺了一段内容，应该是在渲染合成工程文件的时候丢失了。\n我发现后，马上在历史版本的工程文件中寻找，找到了这段缺了的内容，并加上，修正，再重新渲染，投稿，并换源。\n现在新的视频源已经通过审核，所以我们所看到的视频，已经是不缺内容的版本了。\n\n跟大家说一下，目前这期视频中6：14 直到 9：34，是此视频发布最初版本时，缺失了的内容。\n这一段非常重要，讲述的是宋江如何赚秦明上山，而其中涉及到对于宋江的整体评价，以及《水浒传》中一个重要的魔幻设定。\n如果看过视频的观众，可以补看一下这一段，因为这段与客观评价宋江和整体理解水浒传都有很大的关系。\n\n给大家带来的麻烦和不便实在抱歉。感谢大家一直的支持，谢谢你们！', '有很多朋友会争论新老水浒电视剧的优点与不足，说一下自己的观点吧。\n新水浒好在剧情拍得全，但加入了很多立足现代价值观的解读，试图让“好汉”更像正常人，来解释他们的黑化和暴行是受委屈、有理由的，比如孙二娘是被侵犯过才性格变化、李逵杀小衙内是误杀。其实大可不必，有些人是没有理由的坏，有些人就是天然漠视道德。何必解释呢，人性复杂，有好有坏，既矛且盾。\n老水浒也有这样的考虑，但不是改，而是删，感觉这个“好汉”的某一处行为观众接受不了，就干脆不拍。只展现好汉的快意恩仇。\n演技、服化道和武打镜头，新版不如老版，这个有时代因素，新版的优势是资金和设备，老版的优势是能调动更多艺术家指导和优秀的演员，以及对拍出艺术品的艺术追求。“演员的用心与敬业”，这一点在今天已经有些苛求了。\n对新版和老版的批评都很多，对《水浒传》这本书非议的人也很多，主要是不能理解，为什么这么一批人还值得写书歌颂，还叫“好汉”？\n其实一个例子大家也许能明白，你就自己带入一下，1.西门庆看上了你老婆，已经在计划行动了，他在当地是什么身份？有什么背景？你怎么办？2.蒋门神来抢你的门店，还有张都监在背后，你怎么办？这是一种很黑暗的无力感，按照“北宋常识”，你就只能能退就退，自认倒霉，甚至自能祈祷对方“见好就收”，不要赶尽杀绝。然而《水浒传》的好汉告诉你，去TM的常识。这就是水浒想要表达的点之一：有些人是不会妥协的，有些事是妥协也没有用的，有些人逼急了是要上梁山的。我们因为生活在现代社会，感受不到封建时期的黑暗，所以有些不能理解也是正常的。\n老版的最好之处，就是拍出了这一点精神。新版则更多侧重兄弟情义，缺了那一股“被逼到绝路，兔子也要吃掉老虎”的狠劲。\n而原著的深与广，难以表达，根本就不是讲故事，而是在做记录，记录一个时代的社会。\n感谢木鱼的付出。', '越是看水浒就越来越纳闷，为什么别管是土匪强盗，还是流氓小偷见到宋江都要来一句“久闻阿哥大名，无缘不曾拜会，今日得缘相见，受小弟一拜。”然后便纳头就拜。\n宋江到底做了什么事，能让这么多强盗佩服。孙悟空当年大闹天宫，真正的揭竿而起，把玉帝都吓的抖三抖，就这样都还会被笑话成“闯祸的泼猴子，油烹的弼马温。”\n所以宋江在郓城县当协警的时候到底是做了什么比大闹天宫还厉害的大事，名声比孙悟空还响。\n我仔细分析了一下，答案就在阎婆惜身上。\n宋江喜欢出去茶楼酒肆瓦舍，还喜欢接济像阎婆惜这种艺人戏子，久而久之受了接济的这群江湖艺人就四处走街串巷，把宋江的故事添油加醋，越传越离谱，使得宋江人在郓城，名满天下。\n反观孙悟空，大闹天宫失败，满天神佛为了挽回颜面，就对孙悟空百般抹黑，特别是对当弼马温那段黑历史大书特书，搞的弼马温名声比齐天大圣还要响。\n所以，人要成名，学会包装自己，树立人设特别重要。小伙伴们，你们学会了吗', '押解宋江的两个公人，高个的是我小学同学的爹他当时是剧组烟火师。混了个角色。最后的字幕烟火师一栏还有名字。']"
【STN快报第六季30-居家版】自从玩了运动游戏，身体一天不如一天了,"['……关羽骑摩托这个，说真的，现在网络对于小学生的影响远比我们任何人想象的要大得多，影响了语文表达和历史观什么的老生常谈就不说了。小学生现在好多喜欢上课接嘴的“乐子人”，就跟网上那些万物皆可娱乐的乐子人差不多，我在讲台上说什么下面都会有人接话。\n讲四大洋的时候下面有学生会喊“喜洋洋”\n讲美国轰炸我们大使馆的时候会有学生喊：“才三个？”\n讲舞蹈种类提到迈克杰克逊的时候会有学生喊：“好死！”\n上课下课里里外外都是“加油奥利给”、“啊哈哈鸡汤来咯”……连二年级的小女孩都会“焯！”\n除此之外，学校门口卖的小卡片也不是以前什么水浒传、西游记了，而是各种手游和动漫，包括但不限于碧蓝航线以及各种宅男番，卡面立绘穿着不多，背面写着“痴女”“无口”之类的……\n他们还是小学生啊，这你敢信？', '感觉这样隔空拍互动也没啥毛病，效果也挺好的！演播厅不用在续租了', '玩了这么多游戏，只有宫崎英高人设坚挺，每次玩他的游戏我都觉得，这游戏精神一般变态都做不出来', '知道温酒斩华雄关羽为什么回营才喝酒了吧，看看人家这觉悟，喝车不开酒']"
小当家还是拍的太保守了！！！,"['置顶(🐒今天给我剥两个🥚，说今天是母亲节我什么都不用干', '几个月前：复刻小当家\n现在：还是太保守了\n时代发展', '周杰伦要是有你这创作速度就好了', '终于知道这个叫什么了，当年世博会的时候有个亲戚会土耳其馆那里干活，给我带了几块这个点心，特别甜（那会儿小，现在应该是受不了这甜了），很好吃，吃了还想吃，不过一直不知道这玩意叫啥。记得里面还有土耳其烤肉，切的肉片，也很香']"
消失的歌姬丨80年代日本TOP1!中森明菜40周年特辑丨HOPICO,"['置顶勘误：片头提到的关于聂小倩原型和张国荣的“幻想”对象，是我在查阅资料时没有做到严禁的态度，这里跟各位粉丝朋友道歉，看后面音乐部分就好。', '澄清一下，聂小倩原型不是明菜！！徐克御用摄像采访中有提到一开始人选就是王祖贤，试镜后在场所有工作人员都觉得小倩非祖贤莫属，更别说是什么最佳人选，徐克自己都说祖贤是难得的美人。', 'akina老粉，一直在等一位音乐博主写明菜。这几年国内营销号的一通乱写，加上破难船的刻板印象，让人们对明菜的误解太深了。\n明明是一位多变、独立、天赋极高的歌者，一位超越偶像意义的天才，不应该总让人记住那些失落的花边新闻和撕逼故事不是吗？', '本人刚从兵马俑醒过来，请问一下近藤真彦死了没啊？没死的话我过几天再来问']"
求求你别卷我了！卖1元真不贵,"['肯德基：全新上架“七彩祥云巨无霸油条”，现在只需19.9元每根，搭配七彩纯豆豆浆更可享受95折优惠，只要29.9元，心动不如行动哦！', '太详细了 最近疫情在家做菜才知道哪些UP是真教学', '每次看猴哥视频都提前三连交学费，万一哪天失业了，我就从猴哥的视频里挑一个拿出去摆摊', '你这个油条，能开椰子么']"
《孤勇者》天花板翻唱，谁才是孤勇者之王？,"['置顶看起来没人搞传送门，所以我来贴一个。感谢up又扩充了我的收藏夹\n祖娅纳惜：前方高能！《孤勇者》女声版 超A燃炸！！\n咻咻满：《孤勇者》前方核能！谁说女生不适合唱这歌？\n凤凰传奇：【凤凰传奇翻唱孤勇者】去吗？去啊！！战吗？战啊！！！\n肖恩（英翻）：英国兄妹合唱英文版《孤勇者》，不一样，但爆好听！\n腾格尔：【腾格尔】注入灵魂！《孤勇者》来了，送给我的小粉丝们！\n弹吉他的娃哈哈（吉他）：十五秒高能预警！孤勇者吉他指弹改编。\n碰碰彭碰彭（古筝）：【法国街头｜古筝 孤勇者】谁说站在光里的才算英雄\n玩音乐的EZ（三重奏）：燃炸！爸妈竟然和我一起演奏《孤勇者》\n有手的苏三栗子（民乐合奏）：唢呐一响，黄金万两！英雄联盟动画主题曲《孤勇者》民乐版yyds！\n浑元Rysn（唢呐）：【唢呐】孤勇者', '对不起我最喜欢大哥@腾格尔  的', '可以看出来Joe是真的很喜欢唢呐了', '我怎么有一种九爷盯上了古筝的错觉，不会过几个月九爷突然发布一个“我学会了中国传统乐器古筝”的视频吧']"
